tweet_id,date,brand,tweet,sentiment_label,likes,retweets,user_followers
101234,2024-01-22,Google,Noticed Google has a new campaign running. It looks different from before. #Gemini #GoogleAI,Neutral,98,71,24422
101281,2024-01-12,Tesla,Saw a Tesla ad today. Not sure if I should upgrade yet or wait. #EV,Neutral,145,77,5455
101085,2024-09-15,Nike,Nike delivered exactly what I needed on time. Truly impressed with the service. #NikeAir,Positive,267,34,878
100610,2024-03-04,Tesla,Can't believe how good Tesla has gotten. The new features are outstanding. #Autopilot,Positive,494,94,41225
101284,2024-03-14,Tesla,Tesla keeps raising prices while the quality keeps dropping. Enough already. #TeslaModel3 #Tesla #Autopilot,Negative,30,1,15987
101041,2024-03-29,Amazon,Never buying Amazon again. Product broke after two weeks of use. Total waste. #FBA #AWS,Negative,130,75,12863
100220,2024-11-25,Netflix,Loving my new Netflix. The quality is top-notch and customer service was great. #MustWatch #NetflixSeries,Positive,311,116,49385
100339,2024-05-01,Amazon,The Amazon ecosystem is seamless. Everything just works together perfectly. #FBA #AWS,Positive,407,37,26714
100423,2024-10-02,Microsoft,Just heard Microsoft is releasing a new product next month. Interesting. #Azure #Xbox #Copilot,Neutral,66,50,24260
100428,2024-05-22,Netflix,Loving my new Netflix. The quality is top-notch and customer service was great. #Netflix #NetflixSeries #BingeWatch,Positive,181,141,47938
101105,2024-06-07,Apple,Apple promised delivery in 2 days but it's been 10 days and still nothing. #AirPods #MacBook,Negative,11,5,41789
100076,2024-08-18,Netflix,Noticed Netflix has a new campaign running. It looks different from before. #Streaming #NetflixSeries,Neutral,92,2,49911
101391,2024-09-11,Microsoft,Microsoft keeps raising prices while the quality keeps dropping. Enough already. #Xbox #Microsoft #Copilot,Negative,164,0,15142
100439,2024-04-27,Tesla,Thinking about switching to Tesla but haven't made up my mind yet. #EV #TeslaModel3 #Tesla,Neutral,98,23,45748
101336,2024-07-12,Amazon,The Amazon ecosystem is seamless. Everything just works together perfectly. #Amazon,Positive,389,37,44705
100864,2024-03-30,Samsung,Overpriced garbage from Samsung as usual. Not worth a single penny. #SamsungTV #Samsung,Negative,171,64,22714
101080,2024-03-26,Samsung,Samsung promised delivery in 2 days but it's been 10 days and still nothing. #GalaxyWatch #Samsung2024,Negative,195,67,14949
100354,2024-09-12,Google,Shoutout to Google for the incredible experience. Will definitely buy again. #Gemini #Pixel,Positive,13,31,12054
100365,2024-07-13,Microsoft,Loving my new Microsoft. The quality is top-notch and customer service was great. #Microsoft #Xbox #Windows11,Positive,96,32,38241
100309,2024-01-20,Amazon,Terrible experience with Amazon. Customer service was unhelpful and rude. #FBA #PrimeDay #AWS,Negative,167,41,35340
100736,2024-08-03,Amazon,Never buying Amazon again. Product broke after two weeks of use. Total waste. #AWS,Negative,123,14,9006
100998,2024-09-29,Tesla,Tesla keeps raising prices while the quality keeps dropping. Enough already. #Tesla #TeslaModel3 #ElonMusk,Negative,178,38,27833
100621,2024-02-01,Amazon,Comparing Amazon with other brands in the market before deciding. #AWS #PrimeDay,Neutral,153,21,43301
100543,2024-10-18,Amazon,Regret buying Amazon. The product is nothing like what was advertised online. #FBA,Negative,36,59,10003
101140,2024-12-12,Google,Loving my new Google. The quality is top-notch and customer service was great. #GoogleAI,Positive,50,117,40412
101296,2024-09-11,Tesla,Happy with my Tesla purchase. Great value for money and excellent build quality. #TeslaModel3 #ElonMusk,Positive,73,45,28272
100554,2024-06-01,Apple,Overpriced garbage from Apple as usual. Not worth a single penny. #AppleWatch #AirPods #iOS,Negative,180,41,20770
100679,2024-12-04,Google,Regret buying Google. The product is nothing like what was advertised online. #Gemini #Google #Android,Negative,164,48,36436
100049,2024-02-17,Microsoft,The latest Microsoft update ruined everything. So buggy and slow now. #Copilot #Azure #Microsoft,Negative,12,31,16298
100490,2024-05-23,Nike,Nike support team helped me resolve my issue within minutes. Excellent service! #Nike #Sneakers,Positive,116,6,4332
100316,2024-06-14,Netflix,Never buying Netflix again. Product broke after two weeks of use. Total waste. #NetflixSeries,Negative,74,61,10689
100904,2024-04-06,Netflix,Shoutout to Netflix for the incredible experience. Will definitely buy again. #Streaming #NetflixSeries #Netflix,Positive,420,96,8806
100636,2024-01-13,Netflix,Netflix announced some changes to their pricing structure today. #BingeWatch #MustWatch,Neutral,187,13,46126
100560,2024-10-13,Google,Happy with my Google purchase. Great value for money and excellent build quality. #Android,Positive,81,99,48945
100486,2024-10-20,Samsung,Happy with my Samsung purchase. Great value for money and excellent build quality. #GalaxyS,Positive,46,31,37741
100067,2024-12-01,Apple,Shoutout to Apple for the incredible experience. Will definitely buy again. #AirPods #AppleWatch,Positive,129,53,954
100811,2024-10-06,Tesla,Tesla support team helped me resolve my issue within minutes. Excellent service! #EV,Positive,398,148,24326
100493,2024-11-01,Tesla,Tesla never disappoints. Best purchase I've made this year hands down! #ElonMusk,Positive,401,102,21876
100310,2024-09-10,Google,Google never disappoints. Best purchase I've made this year hands down! #GoogleAI,Positive,100,5,19223
101096,2024-07-05,Samsung,The Samsung update is fantastic! So much smoother and faster now. 10/10. #GalaxyWatch,Positive,20,50,42633
101247,2024-09-09,Tesla,The Tesla ecosystem is seamless. Everything just works together perfectly. #ElonMusk #EV #Tesla,Positive,280,30,10676
100184,2024-02-04,Netflix,The Netflix update is fantastic! So much smoother and faster now. 10/10. #Streaming #NetflixSeries,Positive,368,12,43386
100306,2024-01-27,Microsoft,Microsoft support team helped me resolve my issue within minutes. Excellent service! #Windows11,Positive,66,108,26834
100852,2024-01-26,Google,Read an article about Google strategy for the next fiscal year. #Android #Gemini #Google,Neutral,81,51,30720
100792,2024-01-20,Microsoft,Just heard Microsoft is releasing a new product next month. Interesting. #Azure #Windows11 #Microsoft,Neutral,29,22,37311
100289,2024-01-21,Tesla,Saw a Tesla ad today. Not sure if I should upgrade yet or wait. #Autopilot #TeslaModel3 #ElonMusk,Neutral,55,62,4532
100706,2024-04-09,Tesla,The Tesla update is fantastic! So much smoother and faster now. 10/10. #Autopilot,Positive,288,0,31990
101329,2024-09-05,Apple,Apple never disappoints. Best purchase I've made this year hands down! #AppleWatch #MacBook,Positive,437,56,19090
100654,2024-02-21,Nike,Anyone else been following the Nike news lately? Share your thoughts. #JustDoIt,Neutral,116,65,27058
100522,2024-02-29,Microsoft,The Microsoft update is fantastic! So much smoother and faster now. 10/10. #Copilot,Positive,259,58,49088
100461,2024-09-17,Amazon,Read an article about Amazon strategy for the next fiscal year. #Amazon #PrimeDay #AWS,Neutral,163,58,11146
100930,2024-12-10,Samsung,The Samsung ecosystem is seamless. Everything just works together perfectly. #GalaxyWatch #GalaxyS,Positive,13,2,16187
101034,2024-04-03,Tesla,The Tesla update is fantastic! So much smoother and faster now. 10/10. #Tesla #EV #ElonMusk,Positive,24,130,43460
100029,2024-08-30,Amazon,Amazon promised delivery in 2 days but it's been 10 days and still nothing. #PrimeDay #AmazonDeals #Amazon,Negative,81,52,21371
100240,2024-03-14,Apple,Worst customer experience ever with Apple. Will be switching brands for good. #AppleWatch,Negative,29,4,1115
100798,2024-09-25,Apple,Regret buying Apple. The product is nothing like what was advertised online. #iOS,Negative,37,13,16263
100817,2024-01-21,Samsung,Samsung support team helped me resolve my issue within minutes. Excellent service! #SamsungTV #Samsung,Positive,237,124,48663
100065,2024-10-10,Amazon,Regret buying Amazon. The product is nothing like what was advertised online. #AmazonDeals #AWS,Negative,112,55,27828
100601,2024-09-11,Nike,Happy with my Nike purchase. Great value for money and excellent build quality. #NikeAir #Nike,Positive,377,130,15351
100924,2024-06-25,Nike,Never buying Nike again. Product broke after two weeks of use. Total waste. #Sneakers,Negative,153,36,8009
100754,2024-09-29,Microsoft,Worst customer experience ever with Microsoft. Will be switching brands for good. #Azure #Xbox #Copilot,Negative,20,8,37484
100926,2024-12-15,Netflix,Lost all my data because of a Netflix bug. Absolutely furious right now. #MustWatch #Streaming #NetflixSeries,Negative,37,45,38759
101101,2024-09-30,Nike,The Nike ecosystem is seamless. Everything just works together perfectly. #NikeRunning,Positive,193,90,11290
100247,2024-04-13,Google,Happy with my Google purchase. Great value for money and excellent build quality. #Android,Positive,464,94,9960
100277,2024-06-23,Apple,Can't believe how good Apple has gotten. The new features are outstanding. #MacBook #iPhone,Positive,399,7,45515
101402,2024-04-22,Apple,Lost all my data because of a Apple bug. Absolutely furious right now. #iPhone #iOS,Negative,165,60,38502
101066,2024-05-30,Samsung,Noticed Samsung has a new campaign running. It looks different from before. #GalaxyWatch #GalaxyS,Neutral,34,18,38529
100479,2024-06-16,Samsung,The Samsung update is fantastic! So much smoother and faster now. 10/10. #SamsungTV #Samsung #GalaxyWatch,Positive,317,79,24891
100426,2024-12-30,Google,Never buying Google again. Product broke after two weeks of use. Total waste. #Pixel,Negative,31,45,19022
100123,2024-06-14,Nike,The Nike ecosystem is seamless. Everything just works together perfectly. #NikeRunning,Positive,298,38,5901
101169,2024-01-05,Microsoft,The Microsoft ecosystem is seamless. Everything just works together perfectly. #Microsoft #Azure,Positive,320,30,48615
100394,2024-05-07,Netflix,Overpriced garbage from Netflix as usual. Not worth a single penny. #MustWatch #Netflix #NetflixSeries,Negative,153,40,40838
100985,2024-08-05,Netflix,Just heard Netflix is releasing a new product next month. Interesting. #MustWatch #Netflix,Neutral,114,11,16476
100715,2024-12-15,Nike,Shoutout to Nike for the incredible experience. Will definitely buy again. #NikeAir #JustDoIt #Sneakers,Positive,18,81,31216
101134,2024-12-02,Tesla,Lost all my data because of a Tesla bug. Absolutely furious right now. #Autopilot,Negative,112,75,44509
101084,2024-09-28,Samsung,The latest Samsung update ruined everything. So buggy and slow now. #SamsungTV,Negative,61,47,9985
100497,2024-10-30,Tesla,Comparing Tesla with other brands in the market before deciding. #EV,Neutral,14,3,15417
100044,2024-10-02,Nike,Worst customer experience ever with Nike. Will be switching brands for good. #Nike,Negative,141,26,306
100059,2024-06-28,Microsoft,The Microsoft update is fantastic! So much smoother and faster now. 10/10. #Azure,Positive,410,136,3848
101161,2024-09-30,Samsung,Worst customer experience ever with Samsung. Will be switching brands for good. #Samsung #GalaxyWatch,Negative,195,36,26267
100023,2024-03-05,Samsung,Happy with my Samsung purchase. Great value for money and excellent build quality. #SamsungTV,Positive,259,53,9792
100874,2024-12-12,Amazon,Comparing Amazon with other brands in the market before deciding. #FBA,Neutral,93,7,5539
100481,2024-08-19,Amazon,Amazon never disappoints. Best purchase I've made this year hands down! #AmazonDeals,Positive,148,80,1850
101324,2024-09-09,Amazon,Noticed Amazon has a new campaign running. It looks different from before. #Amazon #PrimeDay,Neutral,44,10,41520
100745,2024-10-07,Tesla,Anyone else been following the Tesla news lately? Share your thoughts. #TeslaModel3 #ElonMusk,Neutral,89,74,34154
100231,2024-02-12,Samsung,Samsung keeps raising prices while the quality keeps dropping. Enough already. #Samsung2024,Negative,155,7,9437
100124,2024-05-17,Amazon,Shoutout to Amazon for the incredible experience. Will definitely buy again. #FBA #Amazon #AWS,Positive,246,25,38854
100427,2024-11-17,Tesla,Thinking about switching to Tesla but haven't made up my mind yet. #EV #ElonMusk,Neutral,143,67,41224
100818,2024-03-21,Microsoft,Microsoft stock is making some moves in the market today. Keeping an eye. #Copilot #Xbox,Neutral,130,40,23529
100168,2024-02-20,Tesla,Happy with my Tesla purchase. Great value for money and excellent build quality. #ElonMusk,Positive,444,100,38255
100115,2024-10-28,Microsoft,Thinking about switching to Microsoft but haven't made up my mind yet. #Copilot #Azure,Neutral,94,59,290
101088,2024-09-29,Google,Google promised delivery in 2 days but it's been 10 days and still nothing. #GoogleAI #Android #Gemini,Negative,19,66,7951
100986,2024-02-12,Netflix,Terrible experience with Netflix. Customer service was unhelpful and rude. #NetflixSeries #Streaming,Negative,188,40,6404
101395,2024-03-10,Amazon,The Amazon update is fantastic! So much smoother and faster now. 10/10. #AmazonDeals #Amazon #AWS,Positive,489,3,16773
101424,2024-03-04,Microsoft,Terrible experience with Microsoft. Customer service was unhelpful and rude. #Azure #Microsoft #Copilot,Negative,197,0,25682
100415,2024-12-16,Google,Can't believe how good Google has gotten. The new features are outstanding. #Gemini #GoogleAI #Pixel,Positive,221,62,12442
100141,2024-08-21,Tesla,Tesla released their quarterly report today with some mixed numbers. #Autopilot,Neutral,167,51,39667
101233,2024-07-10,Nike,Nike support team helped me resolve my issue within minutes. Excellent service! #JustDoIt,Positive,478,101,1198
101293,2024-08-05,Nike,Thinking about switching to Nike but haven't made up my mind yet. #NikeAir,Neutral,20,12,7580
100762,2024-05-06,Netflix,Netflix announced some changes to their pricing structure today. #Streaming #NetflixSeries #MustWatch,Neutral,163,73,3140
101206,2024-03-14,Nike,Lost all my data because of a Nike bug. Absolutely furious right now. #NikeRunning #Sneakers #Nike,Negative,47,51,29635
100462,2024-08-29,Apple,Just got the new Apple product and it's absolutely amazing! Totally worth it. #Apple,Positive,231,53,28869
101243,2024-11-28,Netflix,Lost all my data because of a Netflix bug. Absolutely furious right now. #MustWatch #Netflix,Negative,119,54,36569
100078,2024-10-03,Samsung,Samsung promised delivery in 2 days but it's been 10 days and still nothing. #Samsung2024 #SamsungTV,Negative,89,66,30306
101004,2024-06-24,Microsoft,Noticed Microsoft has a new campaign running. It looks different from before. #Azure #Copilot #Xbox,Neutral,109,14,6619
101490,2024-03-28,Amazon,Shoutout to Amazon for the incredible experience. Will definitely buy again. #AWS #Amazon,Positive,47,148,48094
100571,2024-06-25,Microsoft,Just got the new Microsoft product and it's absolutely amazing! Totally worth it. #Windows11 #Xbox #Azure,Positive,16,11,8173
100015,2024-07-23,Google,Google support team helped me resolve my issue within minutes. Excellent service! #Android #GoogleAI #Gemini,Positive,328,17,10727
100494,2024-09-28,Microsoft,The Microsoft update is fantastic! So much smoother and faster now. 10/10. #Copilot,Positive,13,107,31007
100350,2024-08-26,Microsoft,Shoutout to Microsoft for the incredible experience. Will definitely buy again. #Azure #Xbox #Windows11,Positive,378,77,40445
100999,2024-02-14,Amazon,Overpriced garbage from Amazon as usual. Not worth a single penny. #Amazon #PrimeDay #AmazonDeals,Negative,75,39,30751
100274,2024-10-19,Apple,The Apple ecosystem is seamless. Everything just works together perfectly. #AppleWatch #iPhone,Positive,42,114,6354
101191,2024-02-01,Samsung,Samsung delivered exactly what I needed on time. Truly impressed with the service. #GalaxyS #GalaxyWatch,Positive,384,91,30754
100271,2024-05-20,Amazon,Amazon stock is making some moves in the market today. Keeping an eye. #FBA,Neutral,83,68,27269
101473,2024-08-06,Netflix,The Netflix update is fantastic! So much smoother and faster now. 10/10. #Streaming #MustWatch #NetflixSeries,Positive,386,9,22725
100237,2024-10-07,Apple,Just heard Apple is releasing a new product next month. Interesting. #iPhone #AppleWatch,Neutral,34,5,5813
100585,2024-09-18,Samsung,Read an article about Samsung strategy for the next fiscal year. #GalaxyWatch #GalaxyS #Samsung,Neutral,83,21,11822
101312,2024-09-07,Samsung,Never buying Samsung again. Product broke after two weeks of use. Total waste. #SamsungTV,Negative,199,44,44345
100694,2024-10-22,Nike,Nike support team helped me resolve my issue within minutes. Excellent service! #NikeRunning #NikeAir #JustDoIt,Positive,125,44,12695
101001,2024-09-23,Amazon,Amazon never disappoints. Best purchase I've made this year hands down! #PrimeDay #FBA,Positive,191,62,10900
100322,2024-05-06,Tesla,Tesla support team helped me resolve my issue within minutes. Excellent service! #Autopilot #EV,Positive,133,117,46785
100782,2024-02-06,Netflix,Just heard Netflix is releasing a new product next month. Interesting. #BingeWatch #Netflix #MustWatch,Neutral,124,57,40294
101358,2024-07-03,Nike,Saw a Nike ad today. Not sure if I should upgrade yet or wait. #NikeRunning #Nike,Neutral,186,43,12524
101203,2024-02-01,Google,Regret buying Google. The product is nothing like what was advertised online. #Google,Negative,183,19,2060
100970,2024-07-05,Nike,Never buying Nike again. Product broke after two weeks of use. Total waste. #Nike #Sneakers #NikeAir,Negative,137,79,28147
101466,2024-06-24,Apple,Saw a Apple ad today. Not sure if I should upgrade yet or wait. #AppleWatch,Neutral,53,19,23680
100526,2024-06-25,Apple,Loving my new Apple. The quality is top-notch and customer service was great. #AppleWatch,Positive,240,2,14299
101425,2024-12-02,Amazon,Amazon support team helped me resolve my issue within minutes. Excellent service! #AmazonDeals,Positive,406,121,33034
101170,2024-01-19,Samsung,Regret buying Samsung. The product is nothing like what was advertised online. #GalaxyWatch #Samsung2024,Negative,112,49,39848
100175,2024-01-27,Microsoft,Microsoft is really disappointing lately. Quality has gone downhill so much. #Azure,Negative,153,73,9917
100358,2024-09-15,Microsoft,Microsoft never disappoints. Best purchase I've made this year hands down! #Windows11,Positive,494,52,36555
100043,2024-01-05,Google,The latest Google update ruined everything. So buggy and slow now. #Android #Google,Negative,130,0,17512
100416,2024-10-16,Nike,Happy with my Nike purchase. Great value for money and excellent build quality. #JustDoIt #Nike,Positive,358,130,13187
100344,2024-09-28,Google,Just heard Google is releasing a new product next month. Interesting. #GoogleAI #Gemini #Android,Neutral,34,0,5515
101026,2024-01-22,Google,Can't believe how good Google has gotten. The new features are outstanding. #Gemini #GoogleAI,Positive,175,106,25288
101401,2024-07-21,Tesla,Comparing Tesla with other brands in the market before deciding. #Autopilot #EV #Tesla,Neutral,167,6,46794
100101,2024-05-23,Tesla,Shoutout to Tesla for the incredible experience. Will definitely buy again. #ElonMusk #Autopilot,Positive,194,144,4835
100107,2024-09-04,Tesla,Tesla support team helped me resolve my issue within minutes. Excellent service! #EV #Autopilot #Tesla,Positive,225,20,32452
101489,2024-08-21,Microsoft,Microsoft never disappoints. Best purchase I've made this year hands down! #Windows11 #Microsoft #Azure,Positive,314,149,3094
101052,2024-07-13,Google,Loving my new Google. The quality is top-notch and customer service was great. #Android,Positive,482,46,2058
100964,2024-11-23,Netflix,Lost all my data because of a Netflix bug. Absolutely furious right now. #Streaming #MustWatch #Netflix,Negative,187,56,7810
100380,2024-09-23,Amazon,Loving my new Amazon. The quality is top-notch and customer service was great. #FBA #PrimeDay #AWS,Positive,445,110,26315
100244,2024-05-03,Tesla,Just got the new Tesla product and it's absolutely amazing! Totally worth it. #Tesla #ElonMusk,Positive,282,97,10444
101099,2024-04-30,Samsung,Anyone else been following the Samsung news lately? Share your thoughts. #SamsungTV #GalaxyWatch,Neutral,149,75,49168
100500,2024-04-22,Nike,Just got the new Nike product and it's absolutely amazing! Totally worth it. #Sneakers,Positive,107,125,44581
100700,2024-11-01,Netflix,Thinking about switching to Netflix but haven't made up my mind yet. #MustWatch #BingeWatch #NetflixSeries,Neutral,174,33,48420
100128,2024-06-10,Nike,Can't believe how good Nike has gotten. The new features are outstanding. #Nike #NikeRunning #Sneakers,Positive,172,19,2468
100239,2024-09-12,Apple,The Apple ecosystem is seamless. Everything just works together perfectly. #Apple #AppleWatch,Positive,449,9,19355
101114,2024-03-09,Google,Thinking about switching to Google but haven't made up my mind yet. #GoogleAI #Gemini,Neutral,84,48,17187
100682,2024-04-27,Amazon,Amazon delivered exactly what I needed on time. Truly impressed with the service. #FBA #Amazon,Positive,389,107,17758
100482,2024-01-07,Microsoft,Loving my new Microsoft. The quality is top-notch and customer service was great. #Microsoft,Positive,484,117,39987
101305,2024-12-23,Tesla,Anyone else been following the Tesla news lately? Share your thoughts. #TeslaModel3,Neutral,174,57,3966
100275,2024-11-24,Netflix,Netflix is really disappointing lately. Quality has gone downhill so much. #MustWatch #BingeWatch,Negative,150,54,15283
100582,2024-09-24,Samsung,Worst customer experience ever with Samsung. Will be switching brands for good. #Samsung2024,Negative,38,14,41946
100203,2024-01-11,Netflix,Regret buying Netflix. The product is nothing like what was advertised online. #Netflix #NetflixSeries,Negative,6,45,46832
100032,2024-04-03,Samsung,Shoutout to Samsung for the incredible experience. Will definitely buy again. #GalaxyWatch #GalaxyS #SamsungTV,Positive,344,70,2668
101319,2024-09-08,Google,Can't believe how good Google has gotten. The new features are outstanding. #Pixel #Android #GoogleAI,Positive,132,55,43715
100813,2024-05-18,Apple,Just got the new Apple product and it's absolutely amazing! Totally worth it. #iPhone #AirPods,Positive,275,9,5756
100997,2024-07-09,Amazon,Regret buying Amazon. The product is nothing like what was advertised online. #Amazon #FBA,Negative,73,15,30675
100381,2024-06-03,Google,Never buying Google again. Product broke after two weeks of use. Total waste. #Android,Negative,59,42,20015
101073,2024-07-06,Tesla,The Tesla ecosystem is seamless. Everything just works together perfectly. #EV,Positive,62,72,11102
101348,2024-02-10,Samsung,Can't believe how good Samsung has gotten. The new features are outstanding. #SamsungTV,Positive,331,138,41416
100578,2024-08-01,Samsung,Samsung is really disappointing lately. Quality has gone downhill so much. #Samsung,Negative,159,50,27182
100887,2024-05-12,Nike,Nike promised delivery in 2 days but it's been 10 days and still nothing. #Sneakers,Negative,152,58,49245
101325,2024-02-09,Netflix,Noticed Netflix has a new campaign running. It looks different from before. #BingeWatch,Neutral,180,71,13479
101326,2024-05-09,Samsung,Overpriced garbage from Samsung as usual. Not worth a single penny. #GalaxyWatch #GalaxyS,Negative,94,27,8782
100941,2024-02-07,Samsung,Samsung stock is making some moves in the market today. Keeping an eye. #Samsung,Neutral,112,54,10820
100163,2024-11-27,Apple,Apple keeps raising prices while the quality keeps dropping. Enough already. #AirPods #iPhone,Negative,0,68,16464
100909,2024-04-05,Netflix,Lost all my data because of a Netflix bug. Absolutely furious right now. #BingeWatch #Streaming,Negative,185,15,22756
100297,2024-11-09,Tesla,Can't believe how good Tesla has gotten. The new features are outstanding. #EV #TeslaModel3 #ElonMusk,Positive,311,114,5226
100755,2024-05-28,Amazon,Loving my new Amazon. The quality is top-notch and customer service was great. #PrimeDay,Positive,270,9,10717
100405,2024-08-18,Google,Can't believe how good Google has gotten. The new features are outstanding. #Google #Pixel,Positive,117,85,31295
100968,2024-12-03,Tesla,Noticed Tesla has a new campaign running. It looks different from before. #EV #TeslaModel3 #ElonMusk,Neutral,134,34,34842
100605,2024-08-19,Tesla,Worst customer experience ever with Tesla. Will be switching brands for good. #TeslaModel3 #ElonMusk #Autopilot,Negative,175,59,5209
100420,2024-05-14,Netflix,Shoutout to Netflix for the incredible experience. Will definitely buy again. #Netflix #NetflixSeries,Positive,348,7,45468
100464,2024-02-09,Netflix,Shoutout to Netflix for the incredible experience. Will definitely buy again. #BingeWatch #MustWatch,Positive,245,149,23963
101187,2024-03-28,Apple,Happy with my Apple purchase. Great value for money and excellent build quality. #iOS #AirPods,Positive,353,108,4957
100939,2024-09-08,Nike,Saw a Nike ad today. Not sure if I should upgrade yet or wait. #NikeRunning #JustDoIt #NikeAir,Neutral,18,47,16144
100192,2024-11-20,Google,Read an article about Google strategy for the next fiscal year. #GoogleAI #Google #Gemini,Neutral,82,15,21464
100674,2024-11-04,Amazon,Amazon never disappoints. Best purchase I've made this year hands down! #AWS,Positive,349,104,42340
100351,2024-08-28,Tesla,Tesla delivered exactly what I needed on time. Truly impressed with the service. #TeslaModel3 #Autopilot #Tesla,Positive,61,131,17084
100858,2024-06-11,Samsung,Worst customer experience ever with Samsung. Will be switching brands for good. #Samsung2024 #GalaxyWatch #SamsungTV,Negative,9,57,28771
100063,2024-10-02,Microsoft,Can't believe how good Microsoft has gotten. The new features are outstanding. #Xbox,Positive,441,51,17775
101173,2024-03-23,Samsung,Overpriced garbage from Samsung as usual. Not worth a single penny. #GalaxyWatch #Samsung,Negative,3,25,42238
100765,2024-11-20,Amazon,Just got the new Amazon product and it's absolutely amazing! Totally worth it. #PrimeDay #Amazon #AmazonDeals,Positive,148,149,11795
101440,2024-12-13,Tesla,Thinking about switching to Tesla but haven't made up my mind yet. #ElonMusk,Neutral,133,48,38155
100261,2024-03-03,Amazon,Amazon promised delivery in 2 days but it's been 10 days and still nothing. #AWS #AmazonDeals #Amazon,Negative,84,13,37541
100342,2024-03-17,Apple,Thinking about switching to Apple but haven't made up my mind yet. #iOS #MacBook #AirPods,Neutral,119,74,5356
101220,2024-09-14,Apple,Noticed Apple has a new campaign running. It looks different from before. #MacBook,Neutral,41,63,12513
100471,2024-03-13,Samsung,Shoutout to Samsung for the incredible experience. Will definitely buy again. #GalaxyWatch #Samsung,Positive,41,24,13450
